repo,file_path,class_name,comment_text,level,start_line,end_line,commit_hash,commit_date,commit_message
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/FixedVersionStrategyTests.java,FixedVersionStrategyTests,"/**
 * Tests for {@link FixedVersionStrategy}.
 *
 * @author Rossen Stoyanchev
 * @author Brian Clozel
 */",class,25,30,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/ResourceWebHandlerTests.java,ResourceWebHandlerTests,"/**
 * Tests for {@link ResourceWebHandler}.
 *
 * @author Rossen Stoyanchev
 * @author Sam Brannen
 * @author Brian Clozel
 */",class,71,77,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/CssLinkResourceTransformerTests.java,CssLinkResourceTransformerTests,"/**
 * Tests for {@link CssLinkResourceTransformer}.
 *
 * @author Rossen Stoyanchev
 * @author Sam Brannen
 */",class,41,46,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/EncodedResourceResolverTests.java,EncodedResourceResolverTests,"/**
 * Tests for {@link EncodedResourceResolver}.
 *
 * @author Rossen Stoyanchev
 */",class,39,43,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/ResourceUrlProviderTests.java,ResourceUrlProviderTests,"/**
 * Tests for {@link ResourceUrlProvider}.
 *
 * @author Rossen Stoyanchev
 * @author Brian Clozel
 */",class,43,48,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/LiteWebJarsResourceResolverTests.java,LiteWebJarsResourceResolverTests,"/**
 * Tests for {@link WebJarsResourceResolver}.
 *
 * @author Sebastien Deleuze
 */",class,38,42,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/ResourceTransformerSupportTests.java,ResourceTransformerSupportTests,"/**
 * Tests for {@code ResourceTransformerSupport}.
 *
 * @author Rossen Stoyanchev
 * @author Brian Clozel
 */",class,36,41,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/GzipSupport.java,GzipSupport,"/**
 * @author Andy Wilkinson
 * @author Sam Brannen
 * @since 5.2.2
 */",class,41,45,d84bf1840886841a41967c1880d85c9cde907d44,2025-06-28 11:18:44 +0200,Upgrade to JUnit 6.0 RC3
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/PathResourceResolverTests.java,PathResourceResolverTests,"/**
 * Tests for {@link PathResourceResolver}.
 *
 * @author Rossen Stoyanchev
 */",class,34,38,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/NoResourceFoundExceptionTests.java,NoResourceFoundExceptionTests,"/**
 * Tests for {@link NoResourceFoundException}.
 * @author Brian Clozel
 */",class,25,28,444573d4b577842d2e7a5dc24d92dff5912d03f9,2025-07-25 15:04:59 +0200,Display original request URI in NoResourceFoundException message
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/resource/CachingResourceResolverTests.java,CachingResourceResolverTests,"/**
 * Tests for {@link CachingResourceResolver}.
 *
 * @author Rossen Stoyanchev
 */",class,38,42,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/BodyInsertersTests.java,BodyInsertersTests,"/**
 * @author Arjen Poutsma
 * @author Sebastien Deleuze
 */",class,74,77,79738d921ad8824ee1c312711ccb63b912403f56,2025-09-22 11:16:25 +0200,Upgrade to Jackson 3.0.0-rc10
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/MultipartRouterFunctionIntegrationTests.java,MultipartRouterFunctionIntegrationTests,"/**
 * @author Sebastien Deleuze
 */",class,55,57,fce7b3d420665d8f3d6bf2a9d0deb4afee8caa1f,2025-08-19 21:43:13 +0200,Remove Undertow-specific support and testing
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/BodyExtractorsTests.java,BodyExtractorsTests,"/**
 * @author Arjen Poutsma
 * @author Sebastien Deleuze
 * @author Brian Clozel
 * @author Sam Brannen
 */",class,71,76,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/handler/WebFluxResponseStatusExceptionHandlerTests.java,WebFluxResponseStatusExceptionHandlerTests,"/**
 * Tests for {@link WebFluxResponseStatusExceptionHandler}.
 *
 * @author Juergen Hoeller
 * @author Rossen Stoyanchev
 */",class,30,35,6dc5bf76345c3e265add79b4f0a7b16d894137b9,2025-09-02 12:50:57 +0200,"Clean up warnings related to deprecated HttpStatus values, etc."
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/handler/CorsUrlHandlerMappingTests.java,CorsUrlHandlerMappingTests,"/**
 * Tests for CORS support at {@link AbstractUrlHandlerMapping} level.
 *
 * @author Sebastien Deleuze
 * @author Rossen Stoyanchev
 */",class,34,39,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/handler/SimpleUrlHandlerMappingTests.java,SimpleUrlHandlerMappingTests,"/**
 * Tests for {@link SimpleUrlHandlerMapping}.
 *
 * @author Rossen Stoyanchev
 */",class,39,43,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/MediaTypeParamApiVersionResolverTests.java,MediaTypeParamApiVersionResolverTests,"/**
 * Unit tests for {@link MediaTypeParamApiVersionResolver}.
 * @author Rossen Stoyanchev
 */",class,31,34,5d34f9c87eb9a0a8e6e3472b6d6cb67d3fd12c87,2025-06-12 16:11:07 +0100,Support API versioning via MediaType parameter
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/RequestedContentTypeResolverBuilderTests.java,RequestedContentTypeResolverBuilderTests,"/**
 * Tests for {@link RequestedContentTypeResolverBuilder}.
 *
 * @author Rossen Stoyanchev
 */",class,30,34,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/StandardApiVersionDeprecationHandlerTests.java,StandardApiVersionDeprecationHandlerTests,"/**
 * Unit tests for {@link StandardApiVersionDeprecationHandler}.
 * @author Rossen Stoyanchev
 */",class,33,36,785aab8ad5bbbfb7deefceefb6fbc0c86f938f15,2025-06-24 10:21:59 +0100,"Rename ApiDeprecationHandler to insert ""Version"""
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/ParameterContentTypeResolverTests.java,ParameterContentTypeResolverTests,"/**
 * Tests for {@link ParameterContentTypeResolver}.
 *
 * @author Rossen Stoyanchev
 */",class,34,38,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/HeaderContentTypeResolverTests.java,HeaderContentTypeResolverTests,"/**
 * Tests for {@link HeaderContentTypeResolver}.
 *
 * @author Rossen Stoyanchev
 */",class,31,35,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/DefaultApiVersionStrategiesTests.java,DefaultApiVersionStrategiesTests,"/**
 * Unit tests for {@link org.springframework.web.accept.DefaultApiVersionStrategy}.
 * @author Rossen Stoyanchev
 */",class,35,38,11cb06235706cd826c2351b56697cb2e82d68e16,2025-08-28 15:49:37 +0300,Assert versionRequired and defaultVersion
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/accept/PathApiVersionResolverTests.java,PathApiVersionResolverTests,"/**
 * Unit tests for {@link org.springframework.web.accept.PathApiVersionResolver}.
 * @author Rossen Stoyanchev
 */",class,29,32,87838aa4c5ee4377b437616ce0c387762995af32,2025-07-31 15:31:58 +0100,PathApiVersionResolver is not nullable
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/socket/WebSocketIntegrationTests.java,WebSocketIntegrationTests,"/**
 * Integration tests with server-side {@link WebSocketHandler}s.
 *
 * @author Rossen Stoyanchev
 * @author Sam Brannen
 * @author Brian Clozel
 */",class,46,52,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/socket/AbstractReactiveWebSocketIntegrationTests.java,AbstractReactiveWebSocketIntegrationTests,"/**
 * Base class for reactive WebSocket integration tests. Subclasses must implement
 * {@link #getWebConfigClass()} to return Spring config class with (server-side)
 * handler mappings to {@code WebSocketHandler}'s.
 *
 * @author Rossen Stoyanchev
 * @author Sam Brannen
 */",class,70,77,fce7b3d420665d8f3d6bf2a9d0deb4afee8caa1f,2025-08-19 21:43:13 +0200,Remove Undertow-specific support and testing
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/WebFluxViewResolutionIntegrationTests.java,WebFluxViewResolutionIntegrationTests,"/**
 * Integration tests for view resolution with {@code @EnableWebFlux}.
 *
 * @author Sam Brannen
 * @since 6.1.11
 * @see org.springframework.web.servlet.config.annotation.ViewResolutionIntegrationTests
 */",class,48,54,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/CorsRegistryTests.java,CorsRegistryTests,"/**
 * Test fixture with a {@link CorsRegistry}.
 *
 * @author Sebastien Deleuze
 */",class,29,33,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/DelegatingWebFluxConfigurationIntegrationTests.java,DelegatingWebFluxConfigurationIntegrationTests,"/**
 * Integration tests for {@link DelegatingWebFluxConfiguration}.
 *
 * @author Stephane Nicoll
 */",class,38,42,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/ViewResolverRegistryTests.java,ViewResolverRegistryTests,"/**
 * Tests for {@link ViewResolverRegistry}.
 *
 * @author Rossen Stoyanchev
 * @author Sebastien Deleuze
 */",class,38,43,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/ResourceHandlerRegistryTests.java,ResourceHandlerRegistryTests,"/**
 * Tests for {@link ResourceHandlerRegistry}.
 *
 * @author Rossen Stoyanchev
 */",class,55,59,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/WebFluxConfigurationSupportTests.java,WebFluxConfigurationSupportTests,"/**
 * Tests for {@link WebFluxConfigurationSupport}.
 *
 * @author Rossen Stoyanchev
 */",class,87,91,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/config/DelegatingWebFluxConfigurationTests.java,DelegatingWebFluxConfigurationTests,"/**
 * Test fixture for {@link DelegatingWebFluxConfiguration} tests.
 *
 * @author Brian Clozel
 */",class,53,57,09917fad7bca9b3997522f0a75d6319203f2127f,2025-07-30 13:55:00 +0100,Fix bean name for ApiVersionStrategy in WebFlux config
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/result/SimpleUrlHandlerMappingIntegrationTests.java,SimpleUrlHandlerMappingIntegrationTests,"/**
 * Integration tests with requests mapped via
 * {@link SimpleUrlHandlerMapping} to plain {@link WebHandler}s.
 *
 * @author Rossen Stoyanchev
 */",class,49,54,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/result/HandlerResultHandlerTests.java,HandlerResultHandlerTests,"/**
 * Tests for {@link HandlerResultHandlerSupport}.
 *
 * @author Rossen Stoyanchev
 */",class,43,47,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/ExchangeStrategiesTests.java,ExchangeStrategiesTests,"/**
 * @author Arjen Poutsma
 */",class,23,25,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultClientRequestObservationConventionTests.java,DefaultClientRequestObservationConventionTests,"/**
 * Tests for {@link DefaultClientRequestObservationConvention}.
 *
 * @author Brian Clozel
 */",class,30,34,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/WebClientIntegrationTests.java,ebClientIntegrationTests ,"/**
 * Integration tests using an {@link ExchangeFunction} through {@link WebClient}.
 *
 * @author Brian Clozel
 * @author Rossen Stoyanchev
 * @author Denys Ivano
 * @author Sebastien Deleuze
 * @author Sam Brannen
 * @author Martin Tarjányi
 */",class,86,95,79738d921ad8824ee1c312711ccb63b912403f56,2025-09-22 11:16:25 +0200,Upgrade to Jackson 3.0.0-rc10
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultClientRequestBuilderTests.java,DefaultClientRequestBuilderTests,"/**
 * Tests for {@link DefaultClientRequestBuilder}.
 *
 * @author Arjen Poutsma
 */",class,47,51,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/WebClientObservationTests.java,WebClientObservationTests,"/**
 * Tests for the {@link WebClient} {@link io.micrometer.observation.Observation observations}.
 * @author Brian Clozel
 */",class,50,53,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultWebClientTests.java,DefaultWebClientTests,"/**
 * Tests for {@link DefaultWebClient}.
 *
 * @author Rossen Stoyanchev
 * @author Brian Clozel
 */",class,57,62,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultClientResponseTests.java,DefaultClientResponseTests,"/**
 * @author Arjen Poutsma
 * @author Denys Ivano
 */",class,60,63,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/WebClientVersionTests.java,WebClientVersionTests,"/**
 * {@link WebClient} tests for sending API versions.
 * @author Rossen Stoyanchev
 */",class,34,37,00543becf8d3394c2666189a1260eafffd3407ff,2025-10-08 11:56:53 +0100,Allow explicitly sending no API version
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/WebClientDataBufferAllocatingTests.java,WebClientDataBufferAllocatingTests,"/**
 * WebClient integration tests focusing on data buffer management.
 *
 * @author Rossen Stoyanchev
 * @author Sam Brannen
 */",class,48,53,19086835a737881a16772574531df0d893c1a4a4,2025-07-15 16:20:01 +0200,Upgrade tests to OkHttp 5.x
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/DefaultClientResponseBuilderTests.java,DefaultClientResponseBuilderTests,"/**
 * @author Arjen Poutsma
 */",class,38,40,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/ExchangeFilterFunctionsTests.java,ExchangeFilterFunctionsTests,"/**
 * Tests for {@link ExchangeFilterFunctions}.
 *
 * @author Arjen Poutsma
 */",class,42,46,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/client/WebClientResponseExceptionTests.java,ebClientResponseExceptionTests ,"/**
 * Tests for {@link WebClientResponseException}.
 *
 * @author Simon Baslé
 */",class,23,27,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/HandlerStrategiesTests.java,HandlerStrategiesTests,"/**
 * @author Arjen Poutsma
 */",class,23,25,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/NestedRouteIntegrationTests.java,NestedRouteIntegrationTests,"/**
 * @author Arjen Poutsma
 */",class,40,42,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultRenderingResponseTests.java,DefaultRenderingResponseTests,"/**
 * @author Arjen Poutsma
 */",class,57,59,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/ToStringVisitorTests.java,ToStringVisitorTests,"/**
 * @author Arjen Poutsma
 */",class,35,37,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RequestPredicateAttributesTests.java,RequestPredicateAttributesTests,"/**
 * @author Arjen Poutsma
 */",class,31,33,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultServerResponseBuilderTests.java,DefaultServerResponseBuilderTests,"/**
 * @author Arjen Poutsma
 */",class,47,49,6dc5bf76345c3e265add79b4f0a7b16d894137b9,2025-09-02 12:50:57 +0200,"Clean up warnings related to deprecated HttpStatus values, etc."
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RouterFunctionsTests.java,RouterFunctionsTests,"/**
 * @author Arjen Poutsma
 * @since 5.0
 */",class,47,50,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/BindingFunctionIntegrationTests.java,BindingFunctionIntegrationTests,"/**
 * @author Arjen Poutsma
 */",class,32,34,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RouterFunctionBuilderTests.java,RouterFunctionBuilderTests,"/**
 * @author Arjen Poutsma
 */",class,44,46,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RenderingResponseIntegrationTests.java,RenderingResponseIntegrationTests,"/**
 * @author Arjen Poutsma
 * @since 5.0
 */",class,45,48,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultServerRequestBuilderTests.java,DefaultServerRequestBuilderTests,"/**
 * Tests for {@link DefaultServerRequestBuilder}.
 *
 * @author Arjen Poutsma
 * @author Sam Brannen
 */",class,37,42,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/SseHandlerFunctionIntegrationTests.java,SseHandlerFunctionIntegrationTests,"/**
 * @author Arjen Poutsma
 * @author Sam Brannen
 */",class,38,41,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/PathResourceLookupFunctionTests.java,PathResourceLookupFunctionTests,"/**
 * @author Arjen Poutsma
 */",class,36,38,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/InvalidHttpMethodIntegrationTests.java,InvalidHttpMethodIntegrationTests,"/**
 * @author Arjen Poutsma
 */",class,27,29,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/LocaleContextResolverIntegrationTests.java,LocaleContextResolverIntegrationTests,"/**
 * @author Sebastien Deleuze
 */",class,40,42,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/AbstractRouterFunctionIntegrationTests.java,AbstractRouterFunctionIntegrationTests,"/**
 * @author Arjen Poutsma
 */",class,22,24,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RouterFunctionTests.java,RouterFunctionTests,"/**
 * @author Arjen Poutsma
 */",class,36,38,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DefaultEntityResponseBuilderTests.java,DefaultEntityResponseBuilderTests,"/**
 * @author Arjen Poutsma
 */",class,51,53,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/PublisherHandlerFunctionIntegrationTests.java,PublisherHandlerFunctionIntegrationTests,"/**
 * @author Arjen Poutsma
 */",class,42,44,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/HeadersWrapperTests.java,HeadersWrapperTests,"/**
 * @author Arjen Poutsma
 */",class,38,40,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/DispatcherHandlerIntegrationTests.java,DispatcherHandlerIntegrationTests,"/**
 * Tests the use of {@link HandlerFunction} and {@link RouterFunction} in a
 * {@link DispatcherHandler}, combined with {@link Controller}s.
 *
 * @author Arjen Poutsma
 */",class,54,59,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/RequestPredicateTests.java,RequestPredicateTests,"/**
 * @author Arjen Poutsma
 */",class,28,30,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
spring-framework,spring-webflux/src/test/java/org/springframework/web/reactive/function/server/ResourceHandlerFunctionTests.java,ResourceHandlerFunctionTests,"/**
 * @author Arjen Poutsma
 * @since 5.0
 */",class,42,45,16edf9867a143f95cefadb7b2115dcbbf624e176,2025-06-17 16:23:35 +0200,Update copyright headers in source files
